台本,2s視聴率,CTR,CVR,CV数,CTR×CVR
"副業始めて、月15万円以上は手軽に稼ぎたい...！
そんなあなたにぴったりなのが、あのキングコング西野さんも認めたAI専門家の木内さんが開催する、この2時間オンラインセミナー

AI初心者でも月15万稼げるスキルがたった2時間で習得可能

AIの使い方から実際に稼ぐ方法まで教えてくれるこのセミナー、通常10,000円のところ今だけ無料で公開中

詳しくはこちら
",0.32%,1.91%,16.94%,73,0.323%
"はぁ～、屋台もほんと高くなったね。。。	
	そうだよね...
""りんご飴とかもうワンコインで買えないし
ほんと値上げキツい...""	
	分かる...
ゆかりちゃんちは最近どう...？	
	""そうだね...
でも最近ちょっと余裕ができたかな""
""え？てかさっきから
なんで数字増えてるの？""	
	実は...半年前から副業始めて
えっ副業?!パートとか？	
	""ううん、AI副業。
それで最近ちょっと余裕出てきて...""
AI副業？何それ？稼げるの？	
	""こうしてる間も
AIが自動で稼いでくれてる""
	ほら
え、もう10万も増えてるじゃん	
どこで覚えたのそんなの？	
	""SHIFTAIっていうところの
無料セミナーで教えてもらったの""
無料？怪しくない？	
	私も最初そう思ったけど...
	""AI専門家の木内さんって人がやってて
あのキングコング西野さんも認めてる人らしいんだよね。""
	""2時間だけで、
私みたいなパソコン苦手な人にも
1から全部教えてくれるの。""
マジか。。！	
	""今ではたまに
外食もできるようになったよ""
すごすぎる...	
	""しかも今なら
無料でAI副業案件集とかの
特典ももらえるらしい""
	""人気で申し込みが
殺到してるみたいだから、
興味あるなら早めに
申し込んだ方がいいかも""",0.16%,2.09%,7.66%,68,0.160%
"AI初心者で30代の私が副業で月収30万達成できて、ほんとびっくりしてる
数ヶ月前まで ChatGPT って何？って感じだったのに、今では家事しながらでもお手軽に稼げてるの
AI初心者で主婦の私が副業で月収30万達成できて、ほんとびっくりしてる
数ヶ月前まで ChatGPT って何？って感じだったのに、今では家事しながらでもお手軽に稼げてるの
AI初心者で本業に追われていた私が副業で月収30万達成できて、ほんとびっくりしてる
数ヶ月前まで ChatGPT って何？って感じだったのに、今では隙間時間でお手軽に稼げてるの
ほんとにすごい
AI難しそうとか怪しいって思ってる人は、自己流で勉強して損する前にプロに教えてもらった方がいいよ
ほんとにおすすめ
私もこの2時間の無料セミナー見て AI副業の勉強を始めたんだけど
AI初心者でも、2時間でAIの使い方から月10万稼ぐ方法まで超簡単にわかってしまった
とはいえ私も最初はちょっと怪しんじゃう性格だから、正直不安だったんだけど
実はこれ、あのキングコング西野さんも認めた AI専門家の木内さんが運営してるセミナーだから安心だった
人気が殺到してていつ終わるかわからないらしいから、ちょっと AI に興味ある人は今すぐ無料セミナー予約してみて",0.24%,2.42%,10.00%,64,0.242%
"""""""実は私、
これで月15万稼いでます""""
""""実はもう『AIを使いこなせる人』と『使えない人』
の生産性に10倍差がついてます""""
""""でもAIって難しそうで、
自分で勉強するのは面倒ですよね""""
""""なので、まじでAI使って仕事楽にしたい人は
このセミナー無料で参加できるので行ってください""""
""""たった2時間でAIの使い方から
月10万稼ぐ方法とかも知れるんで""""
控えめに言って神です
実際に、この無料セミナーに参加した人の中には
""""4ヶ月で月収100万とか
約1ヶ月で250万稼いでる人もいます""""
""""実はこれ、あのキングコング西野さんも認めた 、
AI専門家の木内さんが運営しているセミナーで""""
""""木内さんの『日本をAI先進国に』という想いから
今だけ完全無料らしいです""""
しかも今だけ参加者限定で
""""『ChatGPT大全』などの豪華10大特典がもらえるんで、
明日から仕事楽にできちゃいます""""
""""さらに、オンラインで顔出し不要なので、
誰でも気軽に参加できます""""
枠が埋まったら即終了なので、
""""AI身につけたい人は今すぐLINE追加して
無料セミナー予約してみてください""""""",0.22%,2.21%,10.11%,62,0.224%
"AIで旦那より稼いで困ってます
実はもうAIを使える主婦は、家事の合間に旦那の2倍稼いでます
でもAIって難しそうだし、家事忙しすぎてAI勉強する時間なんてないじゃないですか
なので、旦那の給料に不満がある人はこのセミナー無料で参加できるので試してみてください
たった2時間でAIの使い方から月10万稼ぐ方法とかも知れたので、参加して大正解でした
""実際に、この無料セミナーに参加した人の中には
4ヶ月で月収100万とか約1ヶ月で250万稼いでる人もいます""
実はこれXのフォロワーが10万人以上いるAI専門家の木内さんが運営してるセミナーで
木内さんの「日本をAI先進国に」という想いから今だけ完全無料で参加できるらしいです
""しかも今だけ参加者限定で
「AI副業案件集」などの12大特典がもらえるんで、次の日から収益化目指せちゃいます""
オンラインで顔出し不要なので、そういうのが苦手な人でも安心です",0.18%,1.68%,10.58%,62,0.177%
"仕事中バレずに寝たかったらこのAIを使って
例えばPerplexityは情報検索に特化していて、市場調査や競合分析をChatGPTの10倍早く正確にまとめてくれるし
Gensparkを使えば3日かかるようなスライドがたった5分で作れるようになる
このような最新のAIの情報をどこで入手したらいいか正直分からない人が多い
日本最大級のAIコミュニティの無料AIセミナーが現在開催中
""実はこの無料セミナー
AI専門家の木内さんが運営していて、""
話題のAIの最新情報から仕事への活用術まで教えてくれるから、明日からの仕事が10倍楽に
""実際に参加した人からは
具体的なAIの最新情報が聞ける
セミナーの質が高いとの声が多数""
""しかも今だけ参加者限定で
AIツール辞典を含む豪華12大特典がもらえる""
""既に100,000人が参加した超人気無料セミナーなので
枠が埋まる前にLINE追加して予約""",0.18%,1.92%,9.24%,52,0.177%
"知ってる人は
絶対に教えたがらない
""誰でも簡単に月15万稼げる
AI副業があるんです""
""これ、テレビでも
オススメされてたんだけど""
""家事の合間とか隙間時間に
PC開いて
プロンプト入力するだけ！""
こんなにもらえるの...!?
""でもAIって難しそうだし
家事忙しすぎて
AI勉強する時間なんて全くありませんでした...""
""そこで出会ったのが
この無料オンラインセミナー""
""たった2時間で
AIの使い方から月10万稼ぐ方法とかも知れたので
参加して大正解でした""
""実際に
この無料セミナーに参加した人の中には
3週間で月収7万
約1ヶ月で20万稼いでる人もいます""
""実はこれXのフォロワーが10万人以上いる
AI専門家の木内さんが運営してるセミナーで""
""木内さんの
「日本をAI先進国に」という想いから
今だけ完全無料で参加できるらしいです""
""しかも今だけ参加者限定で
「AI副業案件集」
などの12大特典がもらえるんで、
次の日から収益化目指せちゃいます""
""オンラインで顔出し不要なので
そういうのが苦手な人でも安心です""
""これ、10万人以上が参加した
人気無料セミナーなので""
""AI副業少しでも気になる人は
無料セミナーだけでも予約してみてください""",0.29%,1.94%,15.04%,40,0.291%
"""ChatGPTしか使ってないサラリーマン
1年後仕事なくなるかもしれません""
""まだChatGPTしか使ってない人は
正直時代遅れ""
今はもうAIの使い分けができてない人は生産性に10倍差が付けられてる
例えば市場調査や競合分析なら、PerplexityがChatGPTの10倍早く正確にまとめてくれるし
資料作成なら、Gensparkがプロレベルのスライドをたった5分で作ってくれる
このような最新のAIの情報をどこで入手したらいいか正直分からない人が多い
そこで日本最大級のAIコミュニティの無料AIセミナーが現在開催中
""実はこの無料セミナー
AI専門家の木内さんが運営していて、""
話題のAIの最新情報から仕事への活用術まで教えてくれるから、明日からの仕事が10倍楽に
""実際に参加した人からは
具体的なAIの最新情報が聞ける
セミナーの質が高いとの声が多数""
""しかも今だけ参加者限定で
AIツール辞典を含む豪華12大特典がもらえる""
""既に100,000人が参加した超人気無料セミナーなので
枠が埋まる前に下の詳細から予約""",0.23%,1.78%,13.11%,35,0.233%
"SHIFT AIで副業学ぼうとしてる人、一旦ストップ
AI副業で稼げない人の衝撃の共通点は〇〇
実は一般的なAI副業スクールで稼げない原因は「サポート不足」
今の時代ではAIを知ってるふうに発信すれば誰でも稼げるため
大半のAIスクールがサポート不足で、稼げない人が続出している
""そんな中
Xのフォロワー10万人超えのAI専門家で、あのキングコング西野さんも認めた木内翔太氏が、
「日本をAI先進国に」という思いで監修した""
この「2時間オンラインセミナー」を受ければ 
AI初心者でも月15万以上稼げる仕組みがスルッと理解できる
実際参加した人の中には、
４ヶ月で月収100万とか、半年で250万稼ぐ人も続出
""しかもSHIFT AIでは
実際に仕事を取ってくるところまで完全サポート""
だから学んで終わりではなく、確実に収入に繋げられる
実はこのセミナー、通常1万円のところ今だけ無料で公開中 
無理な勧誘も一切なし 
しかもAI副業案件集など豪華12大特典もプレゼント  
予約枠が埋まり次第即終了なので 
急いで詳細だけでもチェック",0.33%,1.71%,19.53%,33,0.335%
"旦那の給料が低すぎる
実はもうAIを使える主婦は、家事の合間に旦那の2倍稼いでます
でもAIって難しそうだし、家事忙しすぎてAI勉強する時間なんてないじゃないですか
なので、今の旦那の給料に不満がある人はこのセミナー無料で参加できるので試してみてください
たった2時間でAIの使い方から月10万稼ぐ方法とかも知れたので、参加して大正解でした
""実際に、この無料セミナーに参加した人の中には
2週間で7万とか1ヶ月で20万稼いでる人もいます""
""実はこれXのフォロワーが10万人以上いる
AI専門家の木内さんが運営してるセミナーで""
""木内さんの「日本をAI先進国に」という想いから
今だけ完全無料で参加できるらしいです""
""しかも今だけ参加者限定で
「AI副業案件集」などの12大特典がもらえるんで、
次の日から収益化目指せちゃいます""
オンラインで顔出し不要なので、そういうのが苦手な人でも安心です
これまで10万人以上が参加した人気無料セミナーなので、AIで旦那の給料超えたい人はLINE追加して無料セミナー予約してみてください",0.20%,2.35%,8.45%,31,0.198%
"""田本教授！（K）
メルカリで副業始めて月2万円稼げるようになりました！(K）
それだいぶ損してますね（田本）""
""（AIコンサルタント5年）田本さん！（K)
夫の稼ぎだけじゃお金足りなくて、
バイトしようと思うんですけどおすすめありますか！（K）
バイトする時代はもう古いですね、、（田本）""
""（AI投資家8年）田本さん！
資格とか何にもない私でも、できる副業とかってありますか、、、
今の副業に資格とかいらないですよ（田本）""
え?どういうことですか? 
今、日本では急激にAIが発展しています
Chatgptは聞いたことありますよね？
はい、、！
あれを皮切りにAIバブルの時代になったんです
じゃあAIとかで稼ぐってことですか？
その通り！AIを使った副業をやるべきです。
AIを本当に使いこなせてる人はまだ少ないので
ちょっと学ぶだけで、簡単に副業として月10万円くらい稼げるんですよ。
でも…AIって難しそうだし、理解できますかねー？（K）
確かに不安ですよね、だったらこのセミナーで１から教えてもらっちゃってください！
実際にセミナーを受けた人の中には
1ヶ月で月15万、2ヶ月で月40万円稼いでる人もいるみたいですからね。
そんなセミナー怪しくないですか？（K）
実は運営してるのはアベマ出演経験のあるAI専門家・木内さんで
すでに参加者10万人超え、満足度94％もあるそうです。
それなら、私にもできる気がしてきました
興味あるなら
今だけ完全無料なので、予約枠が埋まる前に申し込んだ方がいいですよ。」",0.22%,2.03%,11.02%,27,0.223%
"""40代パートの私が
AI副業を始めて遂に月収50万""
マジでビックリ！
""数年前まではAI副業って何？怪しくない？
って感じだったのに""
""今では家事しながらでも
夫より稼げちゃってるのすごくない？""
""AIとか難しそう、怪しいって
思ってる人は""
""自己流で勉強して損する前に
ここの無料セミナーに参加してみて！""
私も実際に参加してみたら
""たった2時間でAIの使い方から
月10万稼ぐ方法とかも知れたから""
ほんとにすごかった。。。
実際に、参加した人の中には
""4ヶ月で月収100万とか
約1ヶ月で250万稼いでる人もいました""
""実はこれ、あのキングコング西野さんも認めた 
AI専門家の木内さんが運営してるセミナーで""
""木内さんの『日本をAI先進国に』という想いから
今だけ完全無料らしいです""
しかも今だけ参加者限定で
""「AI副業案件集」などの豪華12大特典がもらえるから
明日から仕事楽にできちゃいます""
""さらに、オンラインで顔出し不要なので、
誰でも気軽に参加できます""
枠が埋まったら即終了らしいから
""AI身につけたい人は
今すぐLINE追加してみた方が良いと思う！""",0.16%,2.24%,6.98%,27,0.156%
"""A：はぁ～、今月ほんとにヤバいかも...
B：そうだよね
A：子供の塾代もばかにならないし、でもあの子のこと考えたら夏期講習とかも通わせてあげたいし
B：分かる...
A：ゆかりちゃんちは最近どう...？""
B： そうだね...でも最近ちょっと余裕ができたかな(603万→605万）+20,000
A：え、てかさっきからなんで数字増えてるの？（150万）
B： 実は...半年前から副業始めて（605万→606万）+10,000
A： えっ副業？！パートとか？（150万）
B： ううん、AI副業。それで最近ちょっと余裕出てきて...（606万→608万）（+20,000）
A： AI副業？何それ？稼げるの？（150万）
B： こうしてる間もAIが自動で稼いでくれてる、ほら！（608万→610万）（+20,000)）
A： え、もう10万も増えてるじゃん！どこで覚えたのそんなの？
B： SHIFT AIっていうところの無料セミナーで教えてもらったの
A： 無料？怪しくない？
B： 私も最初そう思ったけど...AI専門家の木内さんって人がやってて、あのキングコング西野さんも認めてる人らしいんだよね。
B： 2時間だけで、私みたいなパソコン苦手な人にも、１から全部教えてくれるの。
A：まじか。。！
B：今ではたまに外食もできるようになったよ
A： すごすぎる...
B： しかも今なら無料でAI副業案件集とかの特典ももらえるらしい
B： 人気で申し込みが殺到してるみたいだから、興味あるなら早めに申し込んだ方がいいかも",0.11%,2.25%,4.73%,26,0.106%
"""あんまり大きな声で
言えないんだけど...""
""40代パートの私が
AI副業を始めて遂に月収50万""
""これ、テレビでも
オススメされてたんだけど""
""家事の合間とか隙間時間に
PC開いて
文章をコピペするだけ！""
こんなにもらえるの...!?
""でもAIって難しそうだし
家事忙しすぎて
AI勉強する時間なんて全くありませんでした...""
""そこで出会ったのが
この無料オンラインセミナー""
""たった2時間で
AIの使い方から月10万稼ぐ方法とかも知れたので
参加して大正解でした""
""実際に
この無料セミナーに参加した人の中には
3週間で月収7万
約1ヶ月で20万稼いでる人もいます""
""実はこれXのフォロワーが10万人以上いる
AI専門家の木内さんが運営してるセミナーで""
""木内さんの
「日本をAI先進国に」という想いから
今だけ完全無料で参加できるらしいです""
""しかも今だけ参加者限定で
「AI副業案件集」
などの12大特典がもらえるんで、
次の日から収益化目指せちゃいます""
""オンラインで顔出し不要なので
そういうのが苦手な人でも安心です""
""これ、10万人以上が参加した
人気無料セミナーなので""
""AI副業少しでも気になる人は
無料セミナーだけでも予約してみてください""",0.26%,2.26%,11.27%,23,0.255%
"""この令和の時代に
ChatGPT使えてない人は
この動画を絶対見て下さい""
""実はもう『AIを使いこなせる人』と『使えない人』
の生産性に10倍差がついてます""
""でもAIって難しそうで、
自分で勉強するのは面倒ですよね""
""なので、まじでAI使って仕事楽にしたい人は
このセミナー無料で参加できるので行ってください""
""たった2時間でAIの使い方から
月10万稼ぐ方法とかも知れるので""
控えめに言って神です
実際に、この無料セミナーに参加した人の中には
""4ヶ月で月収100万とか
約1ヶ月で250万稼いでる人もいます""
""実はこれ、あのキングコング西野さんも認めた 
AI専門家の木内さんが運営しているセミナーで""
""木内さんの『日本をAI先進国に』という想いから
今だけ完全無料らしいです""
しかも今だけ参加者限定で
""『AI副業案件集』などの12大特典がもらえるので、
明日から仕事楽にできちゃいます""
""オンラインで顔出し不要なので、
誰でも気軽に参加できます""
枠が埋まったら即終了なので、
""AI身につけたい人は今すぐLINE追加して
無料セミナー予約してみてください""",0.12%,1.23%,9.91%,23,0.122%
"""実は私
これで月20万稼いでます""
""実はもう『AIを使いこなせる人』と『使えない人』
の生産性に10倍差がついてます""
""でもAIって難しそうで、
自分で勉強するのは面倒ですよね""
""なので、まじでAI使って仕事楽にしたい人は
このセミナー無料で参加できるので行ってください""
""たった2時間でAIの使い方から
月10万稼ぐ方法とかも知れるので""
控えめに言って神です
実際に、この無料セミナーに参加した人の中には
""4ヶ月で月収100万とか
約1ヶ月で250万稼いでる人もいます""
""実はこれ、あのキングコング西野さんも認めた 
AI専門家の木内さんが運営しているセミナーで""
""木内さんの『日本をAI先進国に』という想いから
今だけ完全無料らしいです""
しかも今だけ参加者限定で
""『AI副業案件集』などの12大特典がもらえるので、
明日から仕事楽にできちゃいます""
""オンラインで顔出し不要なので、
誰でも気軽に参加できます""
枠が埋まったら即終了なので、
""AI身につけたい人は今すぐLINE追加して
無料セミナー予約してみてください""",0.10%,1.09%,9.16%,23,0.100%
"""隙間時間のAI副業で
先月のパート代超えちゃいました""
""実はもうAIを使える主婦は
家事の合間に旦那の2倍稼いでます""
""でもAIって難しそうだし
家事忙しすぎて
AI勉強する時間なんてないじゃないですか""
""なので、旦那の給料に不満がある人は
このセミナ-無料で参加できるので試してみてください""
""たった2時間で
AIの使い方から月10万稼ぐ方法とかも知れたので
参加して大正解でした""
""実際に
この無料セミナーに参加した人の中には
3週間で月収7万
約1ヶ月で20万稼いでる人もいます""
""実はこれXのフォロワーが10万人以上いる
AI専門家の木内さんが運営してるセミナーで""
""木内さんの
「日本をAI先進国に」という想いから
今だけ完全無料で参加できるらしいです""
""しかも今だけ参加者限定で
「AI副業案件集」
などの12大特典がもらえるんで、
次の日から収益化目指せちゃいます""
""オンラインで顔出し不要なので
そういうのが苦手な人でも安心です""
""これで10万人以上が参加した
人気無料セミナーなので""
""AIで旦那の給料超えたい人は
LINE追加して無料セミナー予約してみてください""",0.28%,2.01%,13.86%,23,0.278%
"""#40代パート主婦
「ママ、
僕もビアノ習いたい！」""
って息子に言われて
テレビでもオススメされてたコレ
""家事の合間とか隙間時間に
PC開いて
プロンプト入力するだけなのに""
こんなにもらえるの...!?
""でもAIって難しそうだし
家事忙しすぎて
AI勉強する時間なんて全くありませんでした...""
""そこで出会ったのが
この無料オンラインセミナー""
""たった2時間で
AIの使い方から月10万稼ぐ方法とかも知れたので
参加して大正解でした""
""実際に
この無料セミナーに参加した人の中には
3週間で月収7万
約1ヶ月で20万稼いでる人もいます""
""実はこれXのフォロワーが10万人以上いる
AI専門家の木内さんが運営してるセミナーで""
""木内さんの
「日本をAI先進国に」という想いから
今だけ完全無料で参加できるらしいです""
""しかも今だけ参加者限定で
「AI副業案件集」
などの12大特典がもらえるんで、
次の日から収益化目指せちゃいます""
""オンラインで顔出し不要なので
そういうのが苦手な人でも安心です""
""これ、10万人以上が参加した
人気無料セミナーなので""
""AI副業少しでも気になる人は
無料セミナーだけでも予約してみてください""",0.27%,2.52%,10.68%,22,0.270%
"主婦におすすめの副業ありますか？
あります！
日本の10人に1人が副業してるっていうデータがあって
その中でちゃんと稼げる人ってほんの一握りしかいないんですけど
""今回僕がめちゃめちゃ分かりやすく
副業での稼ぎ方を
教えてあげます""
""結論、AI使ってください
っていうのも例えば9時から18時まで働いて、自分の時間できるのが21時くらいだとして、そこから1時間でできる副業ってAI副業だけなんですよね""
じゃあ実際にどうやって稼ぐかって言うと、一番簡単なのはこんな感じの動画を作ってTikTokとかYouTubeに投稿することです。
TikTokなら再生単価0.05円くらいだから、この500万再生された動画一本で25万稼げちゃってます
これやり方さえ知ってれば誰でも10分くらいで作れちゃうんですけど
具体的にどのAIをどうやって使えばいいのかって調べてもなかなか分からないじゃないですか
なので本気でAI使って月10万以上稼ぎたいならここの無料セミナーだけでも行ってみてください
これはAI専門家の木内さんが運営している
今まで10万人以上が参加した「完全無料」「たった2時間」「オンライン顔出しなし」のAIセミナーです
実際にこのセミナーに参加した人で
""始めて4ヶ月で100万稼いだ人や
1ヶ月で250万稼いでる人もいます""
副業したいけど何からやったらいいか分からないって人は
詳細からLINE追加して無料セミナー参加してきてください",0.11%,1.33%,8.12%,22,0.108%
"""これテレビでもオススメされてたんだけど
家事の合間とかスキマ時間に
スマホで決まった文章コピペするだけ
こんなに貰えるの…！？""
でもAIって難しそうだし、家事忙しすぎてAI勉強する時間なんて全くありませんでした…
そこで出会ったのがこの無料オンラインセミナー
たった2時間でAIの使い方から月10万稼ぐ方法とかも知れたので、参加して大正解でした
""実際に、この無料セミナーに参加した人の中には
3週間で月収7万、約1ヶ月で20万かせいでる人もいます""
実はこれXのフォロワーが10万人以上いるAI専門家の木内さんが運営していて
木内さんの「日本をAI先進国に」という想いから今だけ完全無料で参加できるらしいです
""しかも今だけ参加者限定で
「AI副業案件集」などの12大特典がもらえるんで、次の日から収益化目指せちゃいます""
オンラインで顔出し不要なので、そういうのが苦手な人でも安心です
これまで10万人以上が参加した人気無料セミナーなので、AI副業少しでも気になる人は無料セミナーだけでも予約してみてください",0.29%,2.58%,11.11%,20,0.286%
"""A：はぁ～、今月ほんとにヤバいかも...
B：そうだよね
A：子供の塾代もばかにならないし、でもあの子のこと考えたら夏期講習とかも通わせてあげたいし
B：分かる...
A：ゆかりちゃんちは最近どう...？""
B： そうだね...でも最近ちょっと余裕ができたかな(603万→605万）+20,000
A：え、てかさっきからなんで数字増えてるの？（150万）
B： 実は...半年前から副業始めて（605万→606万）+10,000
A： えっ副業？！パートとか？（150万）
B： ううん、AI副業。それで最近ちょっと余裕出てきて...（606万→608万）（+20,000）
A： AI副業？何それ？稼げるの？（150万）
B： こうしてる間もAIが自動で稼いでくれてる、ほら！（608万→610万）（+20,000)）
A： え、もう10万も増えてるじゃん！どこで覚えたのそんなの？
B： SHIFT AIっていうところの無料セミナーで教えてもらったの
A： 無料？怪しくない？
B： 私も最初そう思ったけど...AI専門家の木内さんって人がやってて、あのキングコング西野さんも認めてる人らしいんだよね。
B： 2時間だけで、私みたいなパソコン苦手な人にも、１から全部教えてくれるの。
A：まじか。。！
B：今ではたまに外食もできるようになったよ
A： すごすぎる...
B： しかも今なら無料でAI副業案件集とかの特典ももらえるらしい
B： 人気で申し込みが殺到してるみたいだから、興味あるなら早めに申し込んだ方がいいかも",0.21%,2.69%,7.87%,20,0.212%
"「40代パートの主婦です。副業を始めようと思ってるのですが、楽に稼げる副業はありますか？」

こういう質問よくもらうんですけど、実は今、完全AI初心者から始めて半年で月30万、人によっては月50万以上稼ぐ主婦の方が続出してるんです

これなんでかって言うと、AI人材の需要が今かなり上がってて、まさにAI人材バブルなんです

実際、AI市場が180兆円規模になるって言われている一方で使いこなせる人が足りないから、AIスキルある人は引っ張りだこなんですよね

とはいえ、AIって自分で勉強するのは難しそうじゃないですか

なので、私がおすすめなのがSHIFT AIの無料セミナーで、これ今2万人以上が受講している日本最大級のセミナーなんです

実際私もこれでAI使えるようになりました

とはいえ私は最初はこういうの怪しんじゃう性格なので、正直見る気も起きなかったんですけど、でもAI専門家の木内さんっていう、あのキングコング西野さんも認めてる人がやってて、無料だから一度見てみたんです

そしたら、たった2時間でAIの使い方から月15万稼ぐ方法とかも知れたし、他にも4ヶ月で月収100万とか稼いでる人もいて、実際私も本当に稼げるようになったんです

ただこのAI人材バブル、いつ終わるか分からないから、今のうちに無料セミナーだけでも参加してみてください
",0.21%,1.81%,11.80%,19,0.213%
"""貯金額が可視化されたらどうなるのか
A： もう...ほんっと今月カツカツでさ...（150万）
B： そうだよね...（600万→601万）+10,000
A： 夫の給料変わんないのに、ほんとに最近物価高くて...スーパー行くたびにビックリするもん（150万）
B： 分かる...（601万→603万）+20,000みたいな
A： ゆかりちゃんちは最近どう...？（150万）""
B： そうだね...でも最近ちょっと余裕ができたかな(603万→605万）+20,000
A：え、てかさっきからなんで数字増えてるの？（150万）
B： 実は...半年前から副業始めて（605万→606万）+10,000
A： えっ副業？！パートとか？（150万）
B： ううん、AI副業。それで最近ちょっと余裕出てきて...（606万→608万）（+20,000）
A： AI副業？何それ？稼げるの？（150万）
B： こうしてる間もAIが自動で稼いでくれてる、ほら！（608万→610万）（+20,000)）
A： え、もう10万も増えてるじゃん！どこで覚えたのそんなの？
B： SHIFT AIっていうところの無料セミナーで教えてもらったの
A： 無料？怪しくない？
B： 私も最初そう思ったけど...AI専門家の木内さんって人がやってて、あのキングコング西野さんも認めてる人らしいんだよね。
B： 2時間だけで、私みたいなパソコン苦手な人にも、１から全部教えてくれるの。
A：まじか。。！
B：今ではたまに外食もできるようになったよ
A： すごすぎる...
B： しかも今なら無料でAI副業案件集とかの特典ももらえるらしい
B： 人気で申し込みが殺到してるみたいだから、興味あるなら早めに申し込んだ方がいいかも",0.08%,1.87%,4.11%,19,0.077%
"ChatGPT使うの今すぐやめて
""まだChatGPTしか使ってない人は
正直時代遅れ""
今はもうAIの使い分けができてない人は生産性に10倍差が付けられてる
例えば市場調査や競合分析なら、PerplexityがChatGPTの10倍早く正確にまとめてくれるし
資料作成なら、Gensparkがプロレベルのスライドをたった5分で作ってくれる
このような最新のAIの情報をどこで入手したらいいか正直分からない人が多い
そこで日本最大級のAIコミュニティの無料AIセミナーが現在開催中
""実はこの無料セミナー
AI専門家の木内さんが運営していて、""
話題のAIの最新情報から仕事への活用術まで教えてくれるから、明日からの仕事が10倍楽に
""実際に参加した人からは
具体的なAIの最新情報が聞ける
セミナーの質が高いとの声が多数""
""しかも今だけ参加者限定で
AIツール辞典を含む豪華12大特典がもらえる""
""既に100,000人が参加した超人気無料セミナーなので
枠が埋まる前にLINE追加して予約""",0.16%,1.78%,8.94%,16,0.159%
"""最近よく見かける
「40代パートの私がAI副業で月収50万」
という広告""
正直ちょっと怪しそうって感じたことありませんか？
""実際ネットには
「初めて見たけど全然稼げなかった」""
「難しすぎてすぐ辞めた」
そんなお声も少なくありません
""でも誤解しないで欲しいのは
AI副業は難しいんじゃなくて、勉強の仕方が違うんだけなんです""
""そこで、あのキングコング西野さんも認めた
AI専門家が運営している
日本最大級の無料セミナーがあるんです！""
""たった2時間で
AIの使い方から月10万稼ぐ方法まで
全部教えてくれます""
実際にこの無料セミナーに参加した人の中には
""4ヶ月で月収100万とか
約1ヶ月で250万稼いでる人もいます""
実はこれ、AI専門家の木内さんの
""「日本をAI先進国に」という想いから
今だけ完全無料らしいです""
しかも今だけ参加者限定で
""「AI副業案件集」
などの12大特典がもらえるんで、
明日から仕事楽にできちゃいます""
""オンラインで顔出し不要なので、
誰でも気軽に参加できます""
枠が埋まったら即終了だから
""AI副業興味ある人は
今すぐ無料セミナーだけでも予約してみてください""",0.13%,1.56%,8.25%,16,0.129%
"""あぁーーもう！会議のスライド作成全然おわんない！
わかる～、マジ大変だよね…一旦Genspark使っときー""
Genspark？何それ？
あーまだ使ったことない？これ使えば元データ入れて10分待てばいい感じのスライド作れるんよ
うわガチ神。じゃあさ、市場調査とか競合分析一瞬でできるAIとかない？
それならPerplexity使うといいよ。
これはどんなAIなの？
これは情報検索がスゴくて、調べたいこと入れるだけでChatGPTよりも10倍速く正確にまとめてくれるんよ
マジ助かるわー、せんきゅ。でもなんでそんなにAI詳しいん？
SHIFT AIってとこの無料セミナーで教えてもらった
え、無料？怪しくない？
うちも最初はそう思ってたんだけど…AI専門家の木内さんって人がやってて、すでに10万人以上参加してるらしいんだよ
2時間だけで、AIの使い方から副業で月10万稼ぐ方法まで教えてくれて…
すげーな…
おかげで残業はないし副業で稼いだお金で買い物し放題よ
マジかよ、めっちゃ羨ましいわ…
でもうち、めっちゃ後悔してるんよ
え？やっぱ裏あるんだ…
""だってさ、今なら無料でAI副業案件集とかの特典も貰えるんだよ！
うちの時はなかったからさ…""
人気で申し込みが殺到してるみたいだから、興味あるなら早めに申し込んだ方がいいよ",0.17%,1.94%,8.67%,15,0.168%
"""会社の人間関係に疲れました
将来独立できる副業ってありますか？""
あります！
日本の10人に1人が副業してるっていうデータがあって
その中でちゃんと稼げる人ってほんの一握りしかいないんですけど
""今回僕がめちゃめちゃ分かりやすく
副業での稼ぎ方を
教えてあげます""
""結論、AI使ってください
っていうのも例えば9時から18時まで働いて、自分の時間できるのが21時くらいだとして、そこから1時間でできる副業ってAI副業だけなんですよね""
じゃあ実際にどうやって稼ぐかって言うと、一番簡単なのはこんな感じの動画を作ってTikTokとかYouTubeに投稿することです。
TikTokなら再生単価0.05円くらいだから、この500万再生された動画一本で25万稼げちゃってます
これやり方さえ知ってれば誰でも10分くらいで作れちゃうんですけど
具体的にどのAIをどうやって使えばいいのかって調べてもなかなか分からないじゃないですか
なので本気でAI使って月10万以上稼ぎたいならここの無料セミナーだけでも行ってみてください
これはAI専門家の木内さんが運営している
今まで10万人以上が参加した「完全無料」「たった2時間」「オンライン顔出しなし」のAIセミナーです
実際にこのセミナーに参加した人で
""始めて4ヶ月で100万稼いだ人や
1ヶ月で250万稼いでる人もいます""
副業したいけど何からやったらいいか分からないって人は
詳細からLINE追加して無料セミナー参加してきてください",0.07%,1.16%,5.91%,15,0.069%
